,full_text,tweet_english
35,Iyaa uni Tarimokasih,"Yes, thank you sister"
36,Alfateha buat alm pak Muchtar.,Alfateha for the late Mr. Muchtar.
37,Dlu namonyo mucktar caruik...pinter tegas allmarhum beliau yaa masuk air panas,"His name used to be mucktar caruik ... smart and firm, the late Mr. Muchtar was in hot water."
38,Jd ingat bpk ya Ma...kt bpk sy...om mukhtar g pernah mau mkn di mess utk staff maunya di ass.staf..org nya lowprofile bgt..alfathah..utk om mukhtar semoga husnul khotimah aamiin..,"So remember your father Ma according to my father om mukhtar never wanted to eat in the mess for staff he wanted assistent staff his person is very lowprofile alfathah for om mukhtar, hopefully husnul khotimah aamiin "
39,Aamiin,Aamiin
40,Aamiin yra..terimakasi kal leti,Aamiin thanks kak leti
41,Kalo papa bang mamad pasti tau bener sama bapak sa yo...hehe,papa bang mamad must know my father ... hehe
42,kami di duri dua kali rumah nomor limapuluh tiga,"We're in Duri twice, house number fifty-three."
43,"iyo uni takana jo gaek. Tentang meshall waktu Presdir Caltex Om Baihaki Hakim meshall jadi satu uni, tidak ada lagi pemisahan.","Yes, I remember my parents. About the meshall when Caltex CEO Om Baihaki Hakim meshall became one unit, no more separation."
44,"Al Fatihah. Saya masih ingat saat putri beliau membawa Daily News ke sekolah, yakni SD Cendana Rumbai berisi berita musibah tersebut. Putri almarhum sekelas dengan saya pada saat itu.","Al Fatihah. I still remember when his daughter brought the Daily News to school, namely SD Cendana Rumbai containing news of the disaster. The deceased's daughter was in my class at the time."
45,Maaf bpk yg sama sama kerja di Bangko dulu. Klo beliau ini yg sering disebut teman teman bpk Muchtar Caruik,"I'm sorry, Mr. who worked together in Bangko in the past. If he is often called Mr. Muchtar Caruik's friend."
46,Terimakasi cerita2 masa lalu bapakku..memang beliau terkenal dgn gelar caruiknya tp d depan anak2nya kami gak pernah dengar beliau bercaruik..memang bapak kami ini super tegas dan disiplin tinggi..itu lah yg terekam d memori saya.kami msh kecil2 wkt d tinggal...saya putri k 3..tp senang dengar cerita beliau dr bapak2 dan ibu2 d grup ini..,Thank you for the stories of my father's past...indeed he was famous for his caruik title but in front of his children we never heard him caruik...indeed our father is super strict and highly disciplined...that's what is recorded in my memory. we were still small when we lived...I am the third daughter...but it's nice to hear his stories from the fathers and mothers in this group ...
47,"Pak Muchtar Almarhum Ini,anak pertamanya teman saya sama kuliah Miktomery. Mereka terakhir tinggal di Rumbai depan Mesjid saya sdh lama nggak ketemu sama Miktomery. Tahun 1987 terakhir.","This deceased Mr. Muchtar, his first child was my friend from Miktomery's college. They last lived in Rumbai in front of the mosque. I haven't seen Miktomery for a long time. Last year 1987."
48,Samping Mesdjid Bang,beside mosque
49,Berdikari,Berdikari
50,"Yg sy ingat beliau, demi menyelamatkan rekan kerja nya, dan beliau sudah tenang di alam akhirat dan semoga husnul khotimah, al fatehah utk papa nya Mektomeri, ,Normandia Muchtar, Lisa Muchtar dst nya","What I remember him, in order to save his coworkers, and he is calm in the afterlife and hopefully husnul khotimah, al fatehah for his papa Mektomeri, ,Normandia Muchtar, Lisa Muchtar and so on."
51,"Saya yang bergabung dengan Caltex tahun 1993, sempat mendengar cerita tentang beliau. Seorang Leader yang tegas, dan siap mengambil resiko. Beberapa cerita yg saya dengar ketika kecelakaan terjadi, menurut saya itu gaya kepemimpinan","I who joined Caltex in 1993, had heard stories about him. A leader who is firm, and ready to take risks. Some of the stories I heard when accidents happened, in my opinion it was his leadership style."
52,"Waktu saya ke Minas awal th 70, alm Supt Well Services. Waktu mereka Monthly Safety meeting, saya dari Safety di undang. Alm bilang sama bawahannya "" sia lo paja ketek ko "". Setelah meeting, waktu salaman alm bilang ke saya : iyo pandai ang","When I went to Minas in the early 70's, he was the Supt of Well Services. During their Monthly Safety meeting, I was invited from Safety. Alm said to his subordinates “who is this kid”. After the meeting, when shaking hands, Alm said to me: You're great."
53,bapak kami memang suka berbahasa minang and english oom..bahasa indonesianya susah...hehehe...terimakaso ceritanya om..salam utk tante ya om..,our father does like to speak minang and english oom...his indonesian language is difficult hehehe thank you for the story greetings to your 
54,"Senang sekali membaca kisah true story jaman baheula ini, dekade 1950-60-70-an, sambil saya membayangi suasana saat itu.","t was a pleasure to read this true story of the old days, the 1950-60-70s decade, while I imagined the atmosphere at that time."
55,Yang paling akrab Pak Busyra Gani Tetapi beliau di Jakarta. Saya dapat cerita dari pak Busyra Gani Ketika alm di Amerika ketika akan kelapangan  Harus pakai DozerTetapi kebetulan Operator Dozer berhalangan ,"The most familiar Mr. Busyra Gani But he was in Jakarta. I got a story from Mr. Busyra Gani when he was in America when he was going to the field, he had to use a dozer, but coincidentally the dozer operator was absent. "
56,hahaha lucunya cerita ini terimakasi pak cerita2 begini yg blm pernah kami dengar syukurlah d grup ini bisa bercerita tentang bapak saya,"ahaha the funny thing about this story is thank you sir for stories like this that we have never heard, thank goodness this group can tell you about my father."
57,"Ha...pak Busyra Gani, ketika saya baru pertama kali kerja di Minas, Juli 1988, saya orientasi salah satunya dng Pak Busyra Gani di Production Minas. Saya diajak keliling2 lap Minas oleh beliau. Orangnya sangat baik. Beliau dan istrinya (ibu Maria Gani) sama2 jago main bridge.Selain dng pak Busyra Gani, di Production Minas saya jg ikut orientasi dng pak Zudi.","Ha...Mr. Busyra Gani, when I first started working in Minas, July 1988, one of my orientations was with Mr. Busyra Gani in Minas Production. I was taken around Minas by him. He was a very nice person. He and his wife (Mrs. Maria Gani) are both good at playing bridge. Besides Mr. Busyra Gani, at Production Minas I also joined the orientation with Mr. Zudi."
58,"Mantap kenangan nya ,waktu saya bekerja di WS&R th 1987 cerita beliau ini masih hangat di perbincangkan tentang almarhum yg legendaris tpi sya belum pernah jumpa alm ,jdi inzin kan saya ngeser foto beliau ini untuk kenangan ??","Great memories, when I worked at WS&R in 1987 his story was still hotly discussed about the legendary deceased, but I had never met him, so do you allow me to move his photo for memories?"
59,"Ya benar pak , silahkan jika ini diperlukan buat kenangan sebagai pengagum beliau","Yes sir, please if this is needed for memories as his admirer."
60,"Inilah yg saya suka, komen topik boleh jalan terus tapi rentetannya sambung menyambung. Dari berbalas komen ternyata dulu satu sekolahan, satu komplek di camp CPI, rupanya ibu ini anak si anu, pernah bertamu, wah rame donk dan seru. Tambah senang perasaan, tambah pula wawasan dan pertemanan. Mantul ...","This is what I like, topic comments can go on but the series continues. From replying to comments it turns out that they used to go to school together, one complex in the CPI camp, apparently this mother is so-and-so's child, has been a guest, well, it's crowded and exciting. More happy feelings, more insight and friendship"
61,"Ikut berduka n mengenang alm. Ayahanda dari sahabatku Safrie. In sya Allah almarhum husnul khotimah, Aamiin YRA…","Sorry to hear about the late father of my best friend Safrie. In sha Allah the deceased husnul khotimah, Aamiin YRA ..."
62,Semoga Almarhum husnul khotimah,May the deceased husnul khotimah
63,terimokasi man..,thanks you
64,selamat malam bang,good night
65,Semoga almarhum husnul khotimah Al Fatihah aamiin yaa rabbal alamiin ,May the deceased husnul khotimah Al Fatihah aamiin yaa rabbal alamiin 
66,Aamiin yra..,Aamiin yra ..
67,Beliau pernah jadi atasan saya swkt saya mandah ke Bangko.Beliau atasan yg tegas dan banyak toleransi,He was once my boss when I went to Bangko. He was a strict boss and had a lot of tolerance.
68,baru tamat SMP evi itu mah toet,only graduated from junior high school evi it
69, Hehe awak msih SD,Hehe you're still in elementary school
70,RIP.,RIP.
71,Turut berduka cita,Condolences
72,"Smg almarhum huznul khotimah. Aamiin. Alm bpk Muchtar banyak sekali kenangannya bagi sy karena beliau Superintendent sy waktu itu. Sewaktu beliau kena air panas di Pinang GS, Bangko. Sy sbg pumper Pinang, tapi kerja malam. Stlh sholat magrib kami di Bangko Camp dpt radio bahwa almarhum dpt kecelakaan kena air panas di Pinang GS. Sy lansung ke Klinik Bangko menunggu beliau, ikut mengangkat keluar dr mobilnya dan ikut membantu Mantri Klinik di Klinik Bangko. Setelah dirawat  di Bangko kemudian dibawa malam itu jg dg helikopter ke Hospital Rumbai utk perawatan intensif.","May the deceased be blessed with peace. Aamiin. The late Mr. Muchtar has many memories for me because he was my Superintendent at that time. When he was hit by hot water in Pinang GS, Bangko. I was a pumper at Pinang, but worked nights. After evening prayers, we at Bangko Camp received a radio message that the deceased had suffered a hot water accident at Pinang GS. I went straight to the Bangko Clinic to wait for him, helped lift him out of his car and assisted the Medical Officer at the Bangko Clinic. After being treated at Bangko, he was taken that night by helicopter to Rumbai Hospital for intensive care."
73,"Syaiful Anwar tarimokasih bang. Iyo kami jampuik gaek ka helipad di km 6 Rumbai, gaek ndak melihatkan kasakitannyo, yg gaek ndak tahan cuma beliau kehausan, tapi tdk boleh minum, minumnya boleh 1 sendok...1 sendok saja. Sekali terimakasih bang dulu sudah ikut mengurus gaek waktu evakuasi","Syaiful Anwar thank you. Iyo we picked up the father to the helipad at km 6 Rumbai, the father did not show his illness, what the father could not stand was that he was thirsty, but he was not allowed to drink, he could only drink 1 spoon...just 1 spoon. Once thank you bang for taking care of gaek when evacuating"
74,sam sama pak Semoga Almarhum tanang di alam baqa,Hopefully the deceased
75,Tarimo kasi banyak lai namuah mambaleh Fb ambo. Smg semua kaluarga besarnya sht walafiat dan sukses sll. Aamiin.,Thank you very much l mambaleh Fb ambo. May all of his extended family be well and successful. Aamiin.
76,Mr. Muchtar was a great man and will live forever in my heart and memories.Rest In Peace,Mr. Muchtar was a great man and will live forever in my heart and memories.Rest In Peace
77,thanks Lisa…,thanks Lisa...
78,Semoga alm bahagia bersama Allah SWT dan dijadikan kuburnya sebagai taman taman surgaNya... aamiin…,May alm be happy with Allah SWT and make his grave a garden of His heavenly garden... aamiin...
79,Aamiin yra..terimakasi pak,amiin thanks sir
80,"Uda muchtar  Panggilannya da kutar caruik, BELIAU sangat berwibawa, semua org terrnasuk org asing segan padnya.Beliau sangat familiar dgn siapapun, semuarm org menghornatinya, dia tdk sombong..Beliau tercebur air PANAS steam di atas tengki saat checking...Dirawat di rumbai hospital dgn kondisi sebagian badan melepuh,Beliau Tau klo saya sdh PINDAH KE rumbai hospital dri central shop duri..Beliau menyruh suster mmanggil saya ke admin hospital..Saya menangis melihat kondisi beliau dgn tubuh berbalut Gips ( semen putih )Saya baru Tau saat itu...Tpi dia tetap tegar Dan mencaruti saya smbil tesenyum Skrangpun saya meneteskan air mataDia banyak membela saya,Dia juga ikut andil dlm kepindahan saya ke rumbai...Saya banyak behutang pd beliau..SEMOGA BELIAU khusnul khotimah.....!Aamiin...","Uda muchtar called him da kutar caruik, HE was very authoritative, everyone including foreigners were reluctant to him. He was very familiar with anyone, everyone respected him, he was not arrogant...He was splashed by HOT steam water on top of the can while checking...He was treated at the rumbai hospital with a partial body blistering condition, he knew that I had moved to the rumbai hospital from the central shop duri ... He told the nurse to call me to the hospital admin..I cried seeing his condition with his body wrapped in a cast (white cement).I just knew at that time...But he remained strong and scratched me smbil tesenyum Skrangpun I shed tearsHe defended me a lot,He also took part in my move to tassel...I owe him a lot..PLEASE HE khusnul khotimah.....!Aamiin..."
81,terimakasi true storynya pak...saya bangga dgn bapak saya krn bapak bil bapak saya orgnya tdk sombong…,thank you for the true story sir...I am proud of my father because my father is not arrogant...
82,"satu yang kuingat dari Om Muctar, ketika beliau meninggal tahun 79, aku masih kelas 6 SD, sama dengan putri beliau siMaria. Setelah aku kerja di dept.FM&R petapahan thn 1993, nama Om beliau masih diceritakan orang (14thn kemudian) kebaikan beliau. Cuma gelarnya saja caruik. Maaf, akulah orang yang banyak dengar dari yang lain kebaikan beliau, padahal sudah 14thn","One thing I remember from Om Muctar, when he died in 79, I was in 6th grade, the same as his daughter Maria. After I worked at the FM&R dept. in Petapahan in 1993, people still told me his name (14 years later) for his kindness. It's just his title, Caruik. Sorry, I'm the one who heard a lot from others about his goodness, even though it's been 14 years."
83,"Saya hanya pernah dengar ceritanya.... semoga almarhum damai ""disana""",I've only ever heard the story.... may the deceased be peaceful “there”
84,RIP. Saya pernah sama2 latihan karate dulu di Duri,RIP. I had karate training together in Duri.
85,Dengan Pak Cokro,With Mr. Cokro
86," iya juga wiwid, dandun, sempai ir. koes pratomo dan 3 saat itu","yes also wiwid, dandun, sempai ir. koes pratomo and 3 at that time"
87,"Di awal2 cerita setelah bergabung di PE Bekasap, thn 1975, dalam program training nya, bersyukur saya di training kan di Well Service Duri, selama 1 bulan, yg pada saat itu pak Muchtar adalah pimpinan WS Duri.Sangat berkesan setiap hari saya berinteraksi dengan beliau, baliau adalah seseorang yg berdedikasi tinggi dg tugas2 nya, yang sangat disegani oleh pasukan2nya, yg disegani juga oleh kolega2 baik karyawan nasional maupun expatriate. Kalo berbicara di WS, suara nya y tegas, keras, sangat disiplin, dan disegani.Saya kembali bersyukur di ""trained"" oleh pak Muchtar meskipun waktu nya relatif singkat.Saya sempatkan waktu itu kerumah duka dimana Alm pak Muchtar disemayamkan sebelum di makamkan Al Fatehah utk Alm pak Muchtar.","At the beginning of the story after joining PE Bekasap, in 1975, in the training program, I was grateful to be trained at Well Service Duri, for 1 month, which at that time Pak Muchtar was the head of WS Duri.Very memorable every day I interacted with him, he was someone who was highly dedicated to his duties, who was highly respected by his troops, who was also respected by colleagues both national and expatriate employees. When speaking at WS, his voice was firm, loud, very disciplined, and respected.I was again grateful to be “trained” by Mr. Muchtar even though his time was relatively short.I took the time to go to the funeral home where the late Mr. Muchtar was laid to rest before being buried in Al Fatehah for the late Mr. Muchtar."
88,assalamualaikum pak apa kabarnya Rupanya baret ungu juga ya Salam WCDS,assalamualaikum sir how are you doing Apparently the purple beret is also yes WCDS Greetings
89, Bagaimana kabarnya Saya om maju anak pieter simanjuntak tetangga di komplek Nusa indah. Sehat om,How am I om advanced son pieter simanjuntak neighbor in complex Nusa indah. Healthy om
90,terimakasih pak cerita dan kesannya terhadap almarhum bapak saya terimakasi juga doanya saya putri ketiga almarhum,"thank you sir for your story and impression of my late father, thank you also for your prayers, I am the third daughter of the deceased."
91,Alfatiha,Alfatiha
92,Saya pernah dengar nama Almarhum Pak Muchtar yang sangat melengenda walaupun tidak pernah ketemu semoga alm Husnul khotimah Aamiin Yarabbal Alamin ,I've heard the name of the late Mr. Muchtar who was very legendary even though I never met him hopefully alm Husnul khotimah Aamiin Yarabbal Alamin 
93,Alfatiha,Alfatiha
94,Kita cuma kenal dg anak almarhum pak muctar ismet nurman lisa mariahistri beliau orang payahkumbuh skrg masih ada beliau.dijalan berdikari kehutanan rumbai.,We only know the son of the late Mr. Muchtar ismet nurman lisa mariah his wife payahkumbuh people now there is still him. on the road berdikari forestry rumbai.
95,terimakasih bang..,thank you bang
96,Pak Muchtar teman akrab almarhum bpk sy wlau kmudian tidak satu dpartmen lg bliau srg krmh hnya utk ngbrol,"Mr. Muchtar was a close friend of my late father even though he was not in the same department anymore, he was always there just to chat."
97,Smg pk Muchtar husnul khotimah aamiin,Smg pk Muchtar husnul khotimah aamiin
98,Aamiin terimakasih,Aamiin thank you
99,"This is my special memory of Mr. Muchtar The night our house caught on fire in Minas The night our house caught on fire in Minas My father was not home so my mother made sure we got out of the house. Then she ran to your house and yelled for your father. It was in the middle of the night and he came to help us. He got the hose, broke the door down and found Roanna. My family did not know she was home. Your father was the brave man that told us she had died. I will never forget that! He stayed with us the whole night. He took care of her body. He took care of the police and investigation. Your father was very special to my family. When your father was in the Rumbai hospital, my father went to visit him several times. We have always been very grateful for his help.","This is my special memory of Mr. Muchtar The night our house caught on fire in Minas My father was not home so my mother made sure we got out of the house. Then she ran to your house and yelled for your father. It was in the middle of the night and he came to help us. He got the hose, broke the door down and found Roanna. My family did not know she was home. Your father was the brave man that told us she had died. I will never forget that! He stayed with us the whole night. He took care of her body. He took care of the police and investigation. Your father was very special to my family. When your father was in the Rumbai hospital, my father went to visit him several times. We have always been very grateful for his help."
100,"What a touching and respectful story, Elizabeth Toth.","What a touching and respectful story, Elizabeth Toth."
101,"thank you Lisa, it had been 41 years our father died already, but he always in our heart","thank you Lisa, it had been 41 years our father died already, but he is always in our heart"
